"x","y","Ind"
3652500,2394500,3
3653500,2394500,13
3654500,2394500,6
3655500,2394500,36
3656500,2394500,17.5
3658500,2394500,4
3659500,2394500,9
3663500,2394500,33
3664500,2394500,25
3665500,2394500,17
3666500,2394500,2
3667500,2394500,1
3668500,2394500,13
3669500,2394500,77.5
3672500,2394500,24
3674500,2394500,22
3675500,2394500,12
3617500,2395500,8
3618500,2395500,23
3619500,2395500,22
3620500,2395500,17.5
3621500,2395500,19
3622500,2395500,25
3623500,2395500,22
3624500,2395500,40
3625500,2395500,5
3626500,2395500,6
3627500,2395500,8
3628500,2395500,8
3630500,2395500,4.5
3631500,2395500,33
3632500,2395500,10
3633500,2395500,5
3634500,2395500,10
3635500,2395500,2
3636500,2395500,14
3637500,2395500,11
3638500,2395500,4
3639500,2395500,18
3641500,2395500,27
3642500,2395500,30
3643500,2395500,17
3644500,2395500,47.5
3645500,2395500,7
3646500,2395500,2
3647500,2395500,51
3648500,2395500,31
3649500,2395500,20
3650500,2395500,1
3651500,2395500,47
3652500,2395500,35
3654500,2395500,62
3655500,2395500,27
3656500,2395500,25
3658500,2395500,10
3660500,2395500,1
3661500,2395500,15
3662500,2395500,2
3663500,2395500,3
3664500,2395500,5
3665500,2395500,49
3666500,2395500,102
3667500,2395500,2
3668500,2395500,24
3669500,2395500,8
3672500,2395500,4
3673500,2395500,44.5
3674500,2395500,6
3675500,2395500,31
3676500,2395500,1
3615500,2396500,9
3616500,2396500,8.5
3617500,2396500,8
3618500,2396500,17
3619500,2396500,4
3620500,2396500,18
3621500,2396500,20
3622500,2396500,15
3623500,2396500,12
3624500,2396500,77
3625500,2396500,33
3626500,2396500,3
3627500,2396500,7
3628500,2396500,19.5
3629500,2396500,9
3630500,2396500,13
3631500,2396500,13
3632500,2396500,2
3634500,2396500,3
3635500,2396500,58.5
3636500,2396500,14
3637500,2396500,12
3638500,2396500,5
3639500,2396500,11
3640500,2396500,15
3641500,2396500,12
3642500,2396500,49
3643500,2396500,3
3644500,2396500,22
3645500,2396500,15.5
3646500,2396500,142
3647500,2396500,281.5
3648500,2396500,54
3649500,2396500,16
3650500,2396500,26
3651500,2396500,9
3652500,2396500,1
3653500,2396500,3
3654500,2396500,29
3656500,2396500,16
3657500,2396500,53
3658500,2396500,6
3660500,2396500,1
3661500,2396500,32
3662500,2396500,22
3665500,2396500,24
3666500,2396500,11
3667500,2396500,4
3668500,2396500,16
3669500,2396500,9
3671500,2396500,3
3672500,2396500,17
3673500,2396500,29
3674500,2396500,57
3675500,2396500,11
3676500,2396500,28
3614500,2397500,17
3615500,2397500,14
3616500,2397500,15
3617500,2397500,21
3618500,2397500,38
3619500,2397500,4
3620500,2397500,9
3621500,2397500,11
3622500,2397500,3
3623500,2397500,15
3624500,2397500,6
3626500,2397500,38
3627500,2397500,29
3628500,2397500,8
3629500,2397500,11
3630500,2397500,15
3632500,2397500,19
3633500,2397500,11
3635500,2397500,83
3636500,2397500,14
3637500,2397500,32
3638500,2397500,20
3639500,2397500,8
3640500,2397500,20
3641500,2397500,8
3642500,2397500,43.5
3645500,2397500,23
3646500,2397500,161.5
3647500,2397500,104
3649500,2397500,3
3650500,2397500,4
3651500,2397500,4
3654500,2397500,2
3656500,2397500,16
3657500,2397500,46
3658500,2397500,8
3660500,2397500,18
3661500,2397500,160
3662500,2397500,35
3666500,2397500,3
3667500,2397500,17
3668500,2397500,9
3669500,2397500,19
3670500,2397500,4
3673500,2397500,56
3674500,2397500,29
3675500,2397500,3
3612500,2398500,9
3614500,2398500,3
3615500,2398500,1
3616500,2398500,43.5
3617500,2398500,29
3618500,2398500,16
3619500,2398500,15
3620500,2398500,5
3621500,2398500,12
3622500,2398500,7
3623500,2398500,16
3624500,2398500,6
3625500,2398500,35
3626500,2398500,2
3627500,2398500,13
3628500,2398500,8
3629500,2398500,3
3630500,2398500,12
3631500,2398500,11
3632500,2398500,5
3633500,2398500,3
3634500,2398500,13
3635500,2398500,3
3636500,2398500,12
3637500,2398500,11
3638500,2398500,5.5
3639500,2398500,20
3641500,2398500,8
3644500,2398500,35
3646500,2398500,102.5
3647500,2398500,36.5
3648500,2398500,2
3649500,2398500,18
3651500,2398500,7
3653500,2398500,37
3654500,2398500,36
3656500,2398500,3
3657500,2398500,3.5
3658500,2398500,2
3659500,2398500,1
3660500,2398500,2
3661500,2398500,6
3662500,2398500,10
3668500,2398500,69
3669500,2398500,40
3670500,2398500,29
3673500,2398500,33
3674500,2398500,4
3612500,2399500,1
3613500,2399500,34
3615500,2399500,4
3616500,2399500,3
3617500,2399500,7
3618500,2399500,8
3619500,2399500,170
3620500,2399500,364.5
3621500,2399500,31
3622500,2399500,9
3623500,2399500,13
3624500,2399500,2
3625500,2399500,4
3627500,2399500,12
