"INSEE_COM","ACT","IND","SACT","SACT_IND"
"46001",99.4712041470833,4.93615253113727,19.0557862350734,4.96239346196958
"46002",28.7671232876713,0,42.936004906972,0
"46003",171.924746743849,15.629522431259,24.3519471308569,9.09090909090909
"46004",85,35,38.8127853881279,41.1764705882353
"46005",73.4234234234233,4.89489489489489,22.3171499767244,6.66666666666667
"46006",101.657824933687,0,26.9649403007127,0
"46007",303.789509991352,70.884218997982,30.747926112485,23.3333333333333
"46008",24.6212121212121,4.92424242424242,12.1286759217794,20
"46009",176.767524131469,64.0024944039457,27.5338822634687,36.2071566699913
"46010",122.972972972973,9.83783783783784,33.5076220634804,8
"46011",98.67747331884,14.7183404785103,27.5635400331955,14.9156033119671
"46012",183.218858149058,43.3990301282246,33.2520613700649,23.6869886466148
"46013",44.2541436464088,4.9171270718232,24.8618784530386,11.1111111111111
"46015",403.338187522313,100.006326396365,27.4566499334454,24.7946585496154
"46016",108.564655191202,5.16974548529534,27.6245941962346,4.76190476190476
"46017",42.781690140845,9.50704225352112,30.127950803412,22.2222222222222
"46018",30,15,21.2765957446809,50
"46020",70.301724137931,5.02155172413793,30.3024673008323,7.14285714285714
"46021",235,50,33.1452750352609,21.2765957446809
"46022",26.8117408421198,0,12.355640941069,0
"46023",115,5,22.2437137330754,4.34782608695652
"46024",150.503419689263,35.183943925432,37.2533217052632,23.3775046428011
"46026",19.8039215686274,0,18.3369644153958,0
"46027",35,0,29.9145299145299,0
"46028",245.813734713089,37.8174976481675,23.7501192959506,15.3846153846154
"46029",648.071424123196,303.120567762811,31.0082021111577,46.7727099945683
"46030",106.220930232558,10.1162790697674,30.8781773931855,9.52380952380952
"46031",20,0,14.9253731343284,0
"46032",104.2125,29.775,26.053125,28.5714285714286
"46033",145.221199702037,15.0625410345904,25.1683188391746,10.3721364824802
"46034",87.921875,15.515625,27.2203947368421,17.6470588235294
"46035",60.3260869565218,15.0815217391304,32.7859168241966,25
"46036",33.0952380952381,5.51587301587302,25.0721500721501,16.6666666666667
"46037",22.8260869565217,0,25.9387351778656,0
"46038",350,115,25.7542310522443,32.8571428571429
"46039",35.5162100872508,0,16.5191674824422,0
"46040",60,0,26.3157894736842,0
"46041",35,10,22.2929936305732,28.5714285714286
"46042",4836.6703408158,383.008546656282,24.2963296368906,7.91884746463162
"46043",93.6363636363636,39.4258373205742,45.6762749445676,42.1052631578947
"46044",186.56864944934,20.0174638037848,31.4618295867353,10.729275182549
"46045",301.032687533524,29.6432656270356,26.8779185297789,9.84719163553774
"46046",165.361050328228,45.0984682713348,36.184037270947,27.2727272727273
"46047",44.4674556213017,9.88165680473372,26.4687235841082,22.2222222222222
"46049",44.7836538461539,0,21.8456848030019,0
"46050",45.2952313859226,5.03280348732474,30.8130825754576,11.1111111111111
"46051",115.661072364352,20.1102123628831,31.0083303925876,17.3871916901587
"46052",70,20,27.2373540856031,28.5714285714286
"46053",125,25,29.5508274231678,20
"46054",115,10,30.4232804232804,8.69565217391304
"46055",280,50,25.3853127833182,17.8571428571429
"46056",35.7070707070707,5.1010101010101,34.006734006734,14.2857142857143
"46057",153.866584079218,34.8900372933084,25.224030176921,22.6755130115486
"46058",80,10,19.4647201946472,12.5
"46059",54.2600896860987,4.93273542600897,24.441481840585,9.09090909090909
"46060",57.6101815655602,9.60169692759336,25.8341621370225,16.6666666666667
"46061",55,5,30.5555555555556,9.09090909090909
"46062",107.387264700447,20.461547442403,25.0904824066465,19.0539795379645
"46063",423.898242026628,20.4288309410423,22.8393449367795,4.81927710843374
"46064",230.122630540798,43.1966876197674,26.2098668041911,18.7711601932645
"46065",116.396457857239,37.0352365909396,25.9234872733271,31.8181818181818
"46066",114.048206900933,10.0532614101161,18.0456023577425,8.8149228149188
"46068",50,5,29.2397660818713,10
"46069",49.1228070175439,0,29.2397660818714,0
"46070",201.44804088586,28.1090289608177,35.4038736179017,13.953488372093
"46072",35.9180327868853,5.13114754098361,11.6239588307072,14.2857142857143
"46073",100.721941393334,15.108291209,23.9244516373714,15
"46074",90,25,21.7917675544794,27.7777777777778
"46075",65,20,28.1385281385281,30.7692307692308
"46076",80,40,23.121387283237,50
"46078",25,0,25.7731958762887,0
"46079",25,5,24.5098039215686,20
"46080",275,45,35.8072916666667,16.3636363636364
"46081",30,0,39.4736842105263,0
"46082",85.4735376044568,0,23.8087848480381,0
"46083",329.099442231571,20.1866959944718,29.1496405873845,6.13391984428446
"46084",72.8503184713375,24.2834394904459,23.200738366668,33.3333333333333
"46085",61.5319148936171,10.2553191489362,25.8537457536206,16.6666666666667
"46086",196.839888623124,33.6068102527284,31.7483691327619,17.0731707317073
"46087",157.262090483619,15.2340093603744,23.7556027920875,9.68701949308071
"46088",358.539922646739,80.8386029453856,43.7777683329351,22.5466113644014
"46089",215,20,22.466039707419,9.30232558139535
"46090",35.5035971223022,0,24.6552757793765,0
"46091",55,0,26.1904761904762,0
"46092",55.7524591851062,5.0684053804642,25.1137203536514,9.09090909090909
"46093",25.561797752809,15.3370786516854,28.7211210705719,60
"46094",75,10,27.9850746268657,13.3333333333333
"46095",255,40,24.4019138755981,15.6862745098039
"46096",35,0,36.0824742268041,0
"46097",20.1851851851852,0,18.6899862825789,0
"46098",75,15,25.5102040816327,20
"46100",186.702467802389,40.5335857322201,27.7831053277365,21.7102570787237
"46101",130,30,28.7610619469027,23.0769230769231
"46102",2468.62680496395,786.88261273005,25.2467458065448,31.8753167205255
"46103",268.384845463609,19.8803589232303,26.8384845463609,7.4074074074074
"46104",25.78125,0,26.85546875,0
"46105",250,50,32.2164948453608,20
"46106",64.2323651452282,5.35269709543568,25.6929460580913,8.33333333333333
"46107",38.3529411764706,4.79411764705882,23.1041814316088,12.5
